Recipe,Cat,Subcat,Calories,Kilojoules,Fat,Saturated Fat,Cholesterol,Sodium,Carbohydrates,Fiber,Total Sugars,Protein,Calcium,URL
Zesty Wisconsin Parmesan Popcorn,Recipe Makeovers,Healthy Recipe Makeovers,63,265,3,1,4,240,7.8,1.2,0.1,1.8,33,"https://www.calorieking.com/recipes/Appetizers-Dips-and-Snacks/Snacks/Zesty-Wisconsin-Parmesan-Popcorn_Y2lkPTkmc2lkPTEwNCZyaWQ9ODA5.html
"
Banana Bread,Baking,Breads,238,996,11.6,3.3,36,203,31.7,1.5,16.3,3.1,12,"https://www.calorieking.com/recipes/Baking/Breads/Banana-Bread_Y2lkPTcmc2lkPTY3JnJpZD04NTU.html
"
Blueberry Banana Nut Bread,Baking,Breads,92,384,3.1,0.6,0,161,15.2,0.9,2.7,2.3,17,"https://www.calorieking.com/recipes/Baking/Breads/Blueberry-Banana-Nut-Bread_Y2lkPTcmc2lkPTY3JnJpZD04MzU.html
"
Carrot and Zucchini Bread,Baking,Breads,169,709,3.6,1.8,63,330,29.2,1.2,13.8,5,100,"https://www.calorieking.com/recipes/Baking/Breads/Carrot-and-Zucchini-Bread_Y2lkPTcmc2lkPTY3JnJpZD0xNzM.html
"
Christmas Bread,Holiday and Special Occasions,Christmas,167,699,6,1.3,23,114,25.6,1.4,14,3.3,20,"https://www.calorieking.com/recipes/Baking/Breads/Christmas-Bread_Y2lkPTcmc2lkPTY3JnJpZD02NDg.html
"
Cranberry Grain Loaf,Breakfasts,"Cereals, Breads, Waffles",188,785,7.8,0.8,12,152,26.2,3,6.4,4.9,19,"https://www.calorieking.com/recipes/Baking/Breads/Cranberry-Grain-Loaf_Y2lkPTcmc2lkPTY3JnJpZD00NTY.html
"
Fabulous Fig Bread,Holiday and Special Occasions,Christmas,137,574,5,0.7,10,89,21.5,1.5,12.8,2.6,21,"https://www.calorieking.com/recipes/Baking/Breads/Fabulous-Fig-Bread_Y2lkPTcmc2lkPTY3JnJpZD02OTc.html
"
Festive Fruit Bread,Holiday and Special Occasions,Christmas,104,436,2.1,0.4,26,30,17.5,1.2,1.2,3.9,27,"https://www.calorieking.com/recipes/Baking/Breads/Festive-Fruit-Bread_Y2lkPTcmc2lkPTY3JnJpZD0zNzA.html
"
Honey Whole-Wheat Bread,Baking,Breads,79,328,0.8,0.3,1,87,15.6,2.2,2.6,3.4,6,"https://www.calorieking.com/recipes/Baking/Breads/Honey-Whole-Wheat-Bread_Y2lkPTcmc2lkPTY3JnJpZD04NzY.html
"
Irish Soda Bread,Baking,Breads,159,664,4.9,2,20,273,25.5,1,7.6,3.8,84,"https://www.calorieking.com/recipes/Baking/Breads/Irish-Soda-Bread_Y2lkPTcmc2lkPTY3JnJpZD03Nzk.html
"
Pumpkin Biscuits,Holiday and Special Occasions,Christmas,91,379,0.6,0.1,12,203,19.4,0.4,6.3,2.1,57,"https://www.calorieking.com/recipes/Baking/Breads/Pumpkin-Biscuits_Y2lkPTcmc2lkPTY3JnJpZD0xMTA.html
"
Whole-Wheat Banana Bread,Baking,Breads,229,959,3,0.5,42,201,46,3,40,6,122,"https://www.calorieking.com/recipes/Baking/Breads/Whole-Wheat-Banana-Bread_Y2lkPTcmc2lkPTY3JnJpZD0zOTY.html
"
Almond Granola Squares,Baking,"Cakes, Cookies, Muffins",84,352,3.9,0.5,1,6,11.3,2.1,5.4,2.5,24,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Almond-Granola-Squares_Y2lkPTcmc2lkPTMzJnJpZD04NTQ.html
"
Angel Food Cake,Baking,"Cakes, Cookies, Muffins",84,351,0.2,0.1,0,78,18.1,0.5,15.8,3.2,4,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Angel-Food-Cake_Y2lkPTcmc2lkPTMzJnJpZD04Ng.html
"
"Apple, Walnut and Cinnamon Muffins",Baking,"Cakes, Cookies, Muffins",193,806,5.3,0.6,16,469,34.5,2.4,14.1,4,152,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Apple-Walnut-and-Cinnamon-Muffins_Y2lkPTcmc2lkPTMzJnJpZD04MA.html
"
Banana 'N Raisin Muffins,Baking,"Cakes, Cookies, Muffins",163,682,2,0.3,16,443,34.3,1.7,13.8,3.5,153,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Banana-N-Raisin-Muffins_Y2lkPTcmc2lkPTMzJnJpZD03OQ.html
"
Bartlett Pear Orange Bar Cookies,Baking,"Cakes, Cookies, Muffins",147,612,3.7,1.1,0,225,26.6,1.8,10.8,2.3,17,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Bartlett-Pear-Orange-Bar-Cookies_Y2lkPTcmc2lkPTMzJnJpZD05NTI.html
"
Bittersweet Chocolate Torte,Baking,"Cakes, Cookies, Muffins",144,603,10,3.7,18,100,14,1.3,10,2.3,12,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Bittersweet-Chocolate-Torte_Y2lkPTcmc2lkPTMzJnJpZD0zOTI.html
"
Blueberry Lemon Scones,Baking,"Cakes, Cookies, Muffins",202,846,3,2,9,235,39,2,14.5,4,80,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Blueberry-Lemon-Scones_Y2lkPTcmc2lkPTMzJnJpZD02OTk.html
"
Blueberry Upside-Down Cake,Baking,"Cakes, Cookies, Muffins",189,789,1.3,0.5,33,276,40.9,2.9,23.5,4.7,90,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Blueberry-Upside-Down-Cake_Y2lkPTcmc2lkPTMzJnJpZD05MTA.html
"
Blueberry-Lemon Muffins,Baking,"Cakes, Cookies, Muffins",126,526,3.2,1.8,28,210,21.7,0.6,10.3,2.8,66,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Blueberry-Lemon-Muffins_Y2lkPTcmc2lkPTMzJnJpZD05Njg.html
"
Brandied Ricotta Cake,Baking,"Cakes, Cookies, Muffins",198,829,4.1,1.4,77,301,29.3,1.4,11.4,7.4,138,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Brandied-Ricotta-Cake_Y2lkPTcmc2lkPTMzJnJpZD03OA.html
"
California Raisin Oatmeal Cookies,Baking,"Cakes, Cookies, Muffins",130,545,2.1,0.5,9,68,25.7,1.8,12.1,2.8,30,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/California-Raisin-Oatmeal-Cookies_Y2lkPTcmc2lkPTMzJnJpZD0xMDE1.html
"
California Walnut Breakfast Cookie Gift Jar,Baking,"Cakes, Cookies, Muffins",175,732,7.6,2.8,10,114,25.1,1.7,12.4,3.1,37,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/California-Walnut-Breakfast-Cookie-Gift-Jar_Y2lkPTcmc2lkPTMzJnJpZD0xMDE4.html
"
Carb-Conscious Chocolate Cheesecake,Baking,"Cakes, Cookies, Muffins",154,645,10.2,5,1,272,12.3,1.1,8.9,6.7,162,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Carb-Conscious-Chocolate-Cheesecake_Y2lkPTcmc2lkPTMzJnJpZD04MjQ.html
"
"Charm's Banana, Apricot and Date Muffins",Baking,"Cakes, Cookies, Muffins",222,928,5.5,1,18,189,38,2.5,21,4.5,130,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Charms-Banana-Apricot-and-Date-Muffins_Y2lkPTcmc2lkPTMzJnJpZD02Mjg.html
"
Cherry Almond Muffins,Baking,"Cakes, Cookies, Muffins",182,761,6,0.5,11,175,27.8,3.8,13.3,4.9,58,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Cherry-Almond-Muffins_Y2lkPTcmc2lkPTMzJnJpZD05MTQ.html
"
Chocolate Chip Cookies,Baking,"Cakes, Cookies, Muffins",64,268,3.1,1.8,11,56,8.7,0.3,5.1,0.9,7,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Chocolate-Chip-Cookies_Y2lkPTcmc2lkPTMzJnJpZD0xMDA2.html
"
Chocolate Raspberry Brownie Bites with Walnuts,Baking,"Cakes, Cookies, Muffins",86,358,3.3,1,9,10,13.7,0.5,9.4,1.3,8,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Chocolate-Raspberry-Brownie-Bites-with-Walnuts_Y2lkPTcmc2lkPTMzJnJpZD04MjE.html
"
Chocolate Swirl Cheesecake,Baking,"Cakes, Cookies, Muffins",159,667,7.4,2.7,29,288,13.7,0.6,5.8,8.6,119,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Chocolate-Swirl-Cheesecake_Y2lkPTcmc2lkPTMzJnJpZD00MjQ.html
"
Cookie Pizza,Baking,"Cakes, Cookies, Muffins",232,971,8.8,3.6,20,168,34.3,1,17.4,4.4,46,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Cookie-Pizza_Y2lkPTcmc2lkPTMzJnJpZD03MTU.html
"
Cream Cheese Brownies,Baking,"Cakes, Cookies, Muffins",106,444,6,3.5,39,53,10,0.3,1.4,2,11,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Cream-Cheese-Brownies_Y2lkPTcmc2lkPTMzJnJpZD02MzA.html
"
Double Chocolate Fig Cookies,Baking,"Cakes, Cookies, Muffins",104,434,4.2,1.6,8,71,16.5,1,10.5,1.6,9,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Double-Chocolate-Fig-Cookies_Y2lkPTcmc2lkPTMzJnJpZD05Nzg.html
"
Double Chocolate Fudgies,Baking,"Cakes, Cookies, Muffins",82,344,4.8,2.9,23,65,8.7,0.6,4.3,1.3,19.4,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Double-Chocolate-Fudgies_Y2lkPTcmc2lkPTMzJnJpZD00MDY.html
"
Easy Honey and Fig Cake,Baking,"Cakes, Cookies, Muffins",154,645,3,0.5,35,52,29,1.3,17.7,3.3,19,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Easy-Honey-and-Fig-Cake_Y2lkPTcmc2lkPTMzJnJpZD02NjY.html
"
Fennel Pistachio Cookies,Baking,"Cakes, Cookies, Muffins",121,506,6.4,3.4,19,81,14.6,0.5,8.7,1.5,17,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Fennel-Pistachio-Cookies_Y2lkPTcmc2lkPTMzJnJpZD0xMDE3.html
"
Flaxseed Raisin Muffins,Baking,"Cakes, Cookies, Muffins",195,816,7,0.7,32,191,29,4,12.5,5,54,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Flaxseed-Raisin-Muffins_Y2lkPTcmc2lkPTMzJnJpZD02OTE.html
"
Fruit Salad Dessert Cake,Baking,"Cakes, Cookies, Muffins",174,728,8.5,4.6,49,62,23,1,10,2,24,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Fruit-Salad-Dessert-Cake_Y2lkPTcmc2lkPTMzJnJpZD0xMjE.html
"
Ginger Spice Biscotti,Baking,"Cakes, Cookies, Muffins",62,259,2.2,0.2,11,33,9.7,0.7,3.9,1,18,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Ginger-Spice-Biscotti_Y2lkPTcmc2lkPTMzJnJpZD00NzA.html
"
Gingerbread Men,Baking,"Cakes, Cookies, Muffins",122,511,3,0.9,7,116,22.3,0.5,10.6,1.7,21,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Gingerbread-Men_Y2lkPTcmc2lkPTMzJnJpZD04Mjg.html
"
Gluten-Free Pumpkin Spice Muffins,Baking,"Cakes, Cookies, Muffins",120,503,4.7,0.5,16,117,19.6,2.6,9.8,2.2,34,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Gluten-Free-Pumpkin-Spice-Muffins_Y2lkPTcmc2lkPTMzJnJpZD0xMDE0.html
"
Healthy Muffins,Baking,"Cakes, Cookies, Muffins",200,836,7.8,0.9,31,317,28.1,3.4,13,7.6,85,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Healthy-Muffins_Y2lkPTcmc2lkPTMzJnJpZD04NTM.html
"
Homemade Fig Bars,Baking,"Cakes, Cookies, Muffins",155,629,5,2,0,39,27,2,14,2,26,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Homemade-Fig-Bars_Y2lkPTcmc2lkPTMzJnJpZD02MDg.html
"
Honey Celebration Cake,Baking,"Cakes, Cookies, Muffins",264,1103,11.4,0.9,35,186,38.9,0.7,23.5,3.1,46,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Honey-Celebration-Cake_Y2lkPTcmc2lkPTMzJnJpZD04MzQ.html
"
Italian Ricotta Cake,Baking,"Cakes, Cookies, Muffins",263,1097,8.1,3.7,53,295,38.4,0,25,8.7,159,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Italian-Ricotta-Cake_Y2lkPTcmc2lkPTMzJnJpZD04ODM.html
"
Jewish Apple Cake,Baking,"Cakes, Cookies, Muffins",299,1252,15,1.4,53,167,36,1.3,18,4,14,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Jewish-Apple-Cake_Y2lkPTcmc2lkPTMzJnJpZD02NDA.html
"
Lemon Cherry Scones,Baking,"Cakes, Cookies, Muffins",198,829,8,1,31,19,27,1.3,9.7,4,83,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Lemon-Cherry-Scones_Y2lkPTcmc2lkPTMzJnJpZD03MDM.html
"
Light and Luscious Strawberry Cheesecake with Fresh Strawberry Sauce,Baking,"Cakes, Cookies, Muffins",290,1214,12,4,70,170,40,2,33,7,120,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Light-and-Luscious-Strawberry-Cheesecake-with-Fresh-Strawberry-Sauce_Y2lkPTcmc2lkPTMzJnJpZD01NDE.html
"
Low-Fat Carrot Cake with a Twist,Baking,"Cakes, Cookies, Muffins",182,770,1.7,0.3,21,113,39,1.4,28,2.7,15,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Low-Fat-Carrot-Cake-with-a-Twist_Y2lkPTcmc2lkPTMzJnJpZD01OTE.html
"
Low-Fat Persimmon Muffins,Baking,"Cakes, Cookies, Muffins",203,847,2.6,0.4,18,279,44,2.9,22.9,4,72,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Low-Fat-Persimmon-Muffins_Y2lkPTcmc2lkPTMzJnJpZD0xMDEx.html
"
Mini Chocolate Chip Cheesecakes with Raspberry Sauce,Baking,"Cakes, Cookies, Muffins",196,815,6.1,2.3,49,198,28.1,0.9,22.5,7.2,42,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Mini-Chocolate-Chip-Cheesecakes-with-Raspberry-Sauce_Y2lkPTcmc2lkPTMzJnJpZD04NTA.html
"
Mocha Swirl Cheesecake,Baking,"Cakes, Cookies, Muffins",183,763,12,5,52,310,12.8,0.7,4.9,6.2,98,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Mocha-Swirl-Cheesecake_Y2lkPTcmc2lkPTMzJnJpZD0zOTE.html
"
Morning Glory Muffins,Baking,"Cakes, Cookies, Muffins",175,733,7,0,10,185,25,1.5,13.4,2,11,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Morning-Glory-Muffins_Y2lkPTcmc2lkPTMzJnJpZD01MDY.html
"
No-Fat Chocolate Cupcakes,Baking,"Cakes, Cookies, Muffins",104,435,0,0,1,263,22,1,11.4,3.7,104,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/No-Fat-Chocolate-Cupcakes_Y2lkPTcmc2lkPTMzJnJpZD0zNTM.html
"
Non-Fat Brownies,Baking,"Cakes, Cookies, Muffins",113,473,0,0,0,93,26,1,19,2.4,5,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Non-Fat-Brownies_Y2lkPTcmc2lkPTMzJnJpZD04Nw.html
"
Oatmeal Cherry Cookies,Baking,"Cakes, Cookies, Muffins",122,509,5.5,2.6,18,56,16.5,1,9,2,11,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Oatmeal-Cherry-Cookies_Y2lkPTcmc2lkPTMzJnJpZD02MjA.html
"
Oatmeal Cranberry Flax Cookies,Baking,"Cakes, Cookies, Muffins",108,452,1,0,0,41,22,2.4,9,3,90,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Oatmeal-Cranberry-Flax-Cookies_Y2lkPTcmc2lkPTMzJnJpZD02NjA.html
"
Orange Cranberry Cookies,Baking,"Cakes, Cookies, Muffins",65,273,3.8,0.9,10,23,7.2,0.5,2.6,1.2,6,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Orange-Cranberry-Cookies_Y2lkPTcmc2lkPTMzJnJpZD00MDc.html
"
Orange Poppy Seed Cake,Baking,"Cakes, Cookies, Muffins",191,800,7,1.8,47,384,27,2,8.3,5,180,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Orange-Poppy-Seed-Cake_Y2lkPTcmc2lkPTMzJnJpZD03Nw.html
"
Peanut Butter Chocolate Bars,Baking,"Cakes, Cookies, Muffins",67,281,3.5,1.6,7,49,7.7,0.4,3,1.4,11,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Peanut-Butter-Chocolate-Bars_Y2lkPTcmc2lkPTMzJnJpZD00MDk.html
"
Peanut Butter and Banana Cupcakes,Baking,"Cakes, Cookies, Muffins",161,673,8.6,1.8,32,267,15.5,1.5,3.3,6.3,84,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Peanut-Butter-and-Banana-Cupcakes_Y2lkPTcmc2lkPTMzJnJpZD0zNTk.html
"
Peanut Butter and Chocolate Cookies,Baking,"Cakes, Cookies, Muffins",86,360,5.5,1.9,5,35,8.1,0.7,6.9,2.2,4,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Peanut-Butter-and-Chocolate-Cookies_Y2lkPTcmc2lkPTMzJnJpZD05MTI.html
"
Pumpkin Cheesecake in Gingersnap Crust,Baking,"Cakes, Cookies, Muffins",196,821,13,5,64,271,13,0.7,2,7,80,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Pumpkin-Cheesecake-in-Gingersnap-Crust_Y2lkPTcmc2lkPTMzJnJpZD02NDU.html
"
Pumpkin Polka Dot Cookies,Baking,"Cakes, Cookies, Muffins",59,244,2.6,1.5,6,44,8.7,0.3,4.2,0.8,12,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Pumpkin-Polka-Dot-Cookies_Y2lkPTcmc2lkPTMzJnJpZD00MDE.html
"
Pumpkin Roll,Baking,"Cakes, Cookies, Muffins",161,674,6.2,4,78,265,22.8,2,4.7,5.5,93,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Pumpkin-Roll_Y2lkPTcmc2lkPTMzJnJpZD03NDY.html
"
Quick Banana Cake,Baking,"Cakes, Cookies, Muffins",157,654,5,1.5,32,275,25.2,0.9,11.3,3,70,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Quick-Banana-Cake_Y2lkPTcmc2lkPTMzJnJpZD0xOTM.html
"
Raisin Cupcakes with Lemon Yogurt Icing,Baking,"Cakes, Cookies, Muffins",223,934,3,0.4,16,119,48,2,31,3,30,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Raisin-Cupcakes-with-Lemon-Yogurt-Icing_Y2lkPTcmc2lkPTMzJnJpZD03MjU.html
"
Raspberry-Almond Bar Cookies,Baking,"Cakes, Cookies, Muffins",106,444,4.7,4.7,8,22,14.7,0.4,6,1.6,7,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Raspberry-Almond-Bar-Cookies_Y2lkPTcmc2lkPTMzJnJpZD03MzU.html
"
Red Velvet Cupcakes,Baking,"Cakes, Cookies, Muffins",196,818,8,1.4,21,230,30.2,1.7,20.7,3.1,47,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Red-Velvet-Cupcakes_Y2lkPTcmc2lkPTMzJnJpZD05OTc.html
"
Reduced-Fat Chocolate Glaze,Baking,"Cakes, Cookies, Muffins",34,143,1.6,0.9,0,0,5,0,4.3,0.2,0,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Reduced-Fat-Chocolate-Glaze_Y2lkPTcmc2lkPTMzJnJpZD0zMzU.html
"
Rum Raisin Balls,Baking,"Cakes, Cookies, Muffins",67,278,4.4,0.4,0,2,5.9,1.5,3.1,2.1,18,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Rum-Raisin-Balls_Y2lkPTcmc2lkPTMzJnJpZD0zNzE.html
"
Snickerdoodles,Baking,"Cakes, Cookies, Muffins",92,385,4.6,1.8,10,53,12,1,7,1,4,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Snickerdoodles_Y2lkPTcmc2lkPTMzJnJpZD02NTI.html
"
Star-Topped Cranberry Muffins,Baking,"Cakes, Cookies, Muffins",173,721,4.2,1.3,10,249,31,1.4,15.2,3.1,68,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Star-Topped-Cranberry-Muffins_Y2lkPTcmc2lkPTMzJnJpZD04MzE.html
"
Sticky Date Cake,Baking,"Cakes, Cookies, Muffins",153,639,2.6,0.4,38,346,29.1,1.6,9.2,0.4,118,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Sticky-Date-Cake_Y2lkPTcmc2lkPTMzJnJpZD0zNjE.html
"
Strawberry Sponge Roulade,Baking,"Cakes, Cookies, Muffins",124,516,4.7,2.2,103,72,13.8,1.1,6.3,6.5,99,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Strawberry-Sponge-Roulade_Y2lkPTcmc2lkPTMzJnJpZD0xNzI.html
"
Super Berry Shortbread,Baking,"Cakes, Cookies, Muffins",81,340,4.1,1.1,0,60,10.6,0.6,4.6,0.8,7.6,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Super-Berry-Shortbread_Y2lkPTcmc2lkPTMzJnJpZD05Mjk.html
"
Thumbprint Cookies,Baking,"Cakes, Cookies, Muffins",58,243,3,2,16,47,8,0.2,7,1,5,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Thumbprint-Cookies_Y2lkPTcmc2lkPTMzJnJpZD02NTM.html
"
Walnut Cappuccino Biscotti,Baking,"Cakes, Cookies, Muffins",68,285,2.5,0.4,12,10,2,0.4,5,1.6,7,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Walnut-Cappuccino-Biscotti_Y2lkPTcmc2lkPTMzJnJpZD02NTA.html
"
Walnut Cookie Hearts Filled with Fig Jam,Baking,"Cakes, Cookies, Muffins",105,440,6.6,2.7,16,35,11.6,0.8,5.6,1.6,8,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Walnut-Cookie-Hearts-Filled-with-Fig-Jam_Y2lkPTcmc2lkPTMzJnJpZD0xMDE5.html
"
Wave the Flag Cupcakes,Baking,"Cakes, Cookies, Muffins",136,566,3.6,1.5,5,179,23.4,0.5,14.5,2.4,12,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Wave-the-Flag-Cupcakes_Y2lkPTcmc2lkPTMzJnJpZD04ODc.html
"
Whole Wheat Blueberry Muffins,Baking,"Cakes, Cookies, Muffins",112,469,3,0.8,16,262,19,2,11.5,3,114,"https://www.calorieking.com/recipes/Baking/Cakes-Cookies-Muffins/Whole-Wheat-Blueberry-Muffins_Y2lkPTcmc2lkPTMzJnJpZD02ODg.html
"
Apple Cranberry Streusel Pie,Baking,"Pastries, Pies, Tarts",253,1059,13.3,3,0,286,33,2.7,13.8,2.5,19,"https://www.calorieking.com/recipes/Baking/Pastries-Pies-Tarts/Apple-Cranberry-Streusel-Pie_Y2lkPTcmc2lkPTQxJnJpZD03NTI.html
"
Apple Streusel Pie,Baking,"Pastries, Pies, Tarts",258,1080,14.5,3,0,326,30.6,2,10.5,3,17,"https://www.calorieking.com/recipes/Baking/Pastries-Pies-Tarts/Apple-Streusel-Pie_Y2lkPTcmc2lkPTQxJnJpZD03NTE.html
"
Banana Cream Pie,Baking,"Pastries, Pies, Tarts",246,1027,8.2,3.2,59,197,35,1.4,10.3,4.8,100,"https://www.calorieking.com/recipes/Baking/Pastries-Pies-Tarts/Banana-Cream-Pie_Y2lkPTcmc2lkPTQxJnJpZD0xMDA0.html
"
Brandied Mango Bread Pudding,Baking,"Pastries, Pies, Tarts",274,1144,5.3,2.5,17,228,46.4,2.1,32.9,7.8,55,"https://www.calorieking.com/recipes/Baking/Pastries-Pies-Tarts/Brandied-Mango-Bread-Pudding_Y2lkPTcmc2lkPTQxJnJpZD05NjA.html
"
Brandy Pumpkin Flan with Hazelnut Crust,Baking,"Pastries, Pies, Tarts",143,599,5.3,1.5,60,45,17,1.8,7,5,45,"https://www.calorieking.com/recipes/Baking/Pastries-Pies-Tarts/Brandy-Pumpkin-Flan-with-Hazelnut-Crust_Y2lkPTcmc2lkPTQxJnJpZD0zNjA.html
"
Butternut Squash Pie with Graham Cracker Crust,Baking,"Pastries, Pies, Tarts",187,783,7,2.5,47,242,26.8,1.3,16.6,3.4,57,"https://www.calorieking.com/recipes/Baking/Pastries-Pies-Tarts/Butternut-Squash-Pie-with-Graham-Cracker-Crust_Y2lkPTcmc2lkPTQxJnJpZD03NDk.html
"
Chocolate Cream Pie,Baking,"Pastries, Pies, Tarts",235,984,10,1.8,66,463,27,1,19,7,128,"https://www.calorieking.com/recipes/Baking/Pastries-Pies-Tarts/Chocolate-Cream-Pie_Y2lkPTcmc2lkPTQxJnJpZD02NzA.html
"
Classic Strawberry Pie,Baking,"Pastries, Pies, Tarts",239,1001,8,0.7,1,247,41,3,25,3,53,"https://www.calorieking.com/recipes/Baking/Pastries-Pies-Tarts/Classic-Strawberry-Pie_Y2lkPTcmc2lkPTQxJnJpZD01ODU.html
"
Crustless Pumpkin Pie,Baking,"Pastries, Pies, Tarts",83,342,0.3,0.1,0,251,14.1,1.7,8,5.8,137,"https://www.calorieking.com/recipes/Baking/Pastries-Pies-Tarts/Crustless-Pumpkin-Pie_Y2lkPTcmc2lkPTQxJnJpZD04MzI.html
"
Fig Tartlets,Baking,"Pastries, Pies, Tarts",127,532,8.4,2.5,22,60,11.7,1,5,2,25,"https://www.calorieking.com/recipes/Baking/Pastries-Pies-Tarts/Fig-Tartlets_Y2lkPTcmc2lkPTQxJnJpZD03NTU.html
"
Holiday Eggnog Pie,Baking,"Pastries, Pies, Tarts",273,1143,10.5,4,30,285,38.5,0.1,28,4,131,"https://www.calorieking.com/recipes/Baking/Pastries-Pies-Tarts/Holiday-Eggnog-Pie_Y2lkPTcmc2lkPTQxJnJpZD03NTc.html
"
Lemon Meringue Pie,Baking,"Pastries, Pies, Tarts",123,516,1.8,0.6,53,55,24.9,0.3,16.6,2.2,9,"https://www.calorieking.com/recipes/Baking/Pastries-Pies-Tarts/Lemon-Meringue-Pie_Y2lkPTcmc2lkPTQxJnJpZD0xNzE.html
"
Lemon Ricotta Pie,Baking,"Pastries, Pies, Tarts",223,931,8.6,3.6,86,159,27.2,1.4,12,10.1,182,"https://www.calorieking.com/recipes/Baking/Pastries-Pies-Tarts/Lemon-Ricotta-Pie_Y2lkPTcmc2lkPTQxJnJpZD05.html
"
